Feature,Source,Group,Formula_Definition,Possible_Physical_Interpretation,Category,Used_By_Primary_Classifier,Channel_Dominance_R2_vs_Level,Leakage_Audit_Evidence
iqr_I,04_extract_features.py,Time-domain amplitude and shape,P75(I) - P25(I),"Robust spread measure; empirically tracks received amplitude closely (see Channel_Dominance_R2_vs_Level), so may primarily reflect link conditions.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9866806382049185,N/A — not a metadata column
iqr_Q,04_extract_features.py,Time-domain amplitude and shape,P75(Q) - P25(Q),"Robust spread measure; empirically tracks received amplitude closely (see Channel_Dominance_R2_vs_Level), so may primarily reflect link conditions.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9872120939792801,N/A — not a metadata column
skew_I,04_extract_features.py,Distribution shape (scale-independent),skewness(I),"Dimensionless asymmetry measure; potentially associated with transmit-chain amplitude-distribution effects, not isolated from other sources by this script.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.007986173123245606,N/A — not a metadata column
skew_Q,04_extract_features.py,Distribution shape (scale-independent),skewness(Q),"Dimensionless asymmetry measure; potentially associated with transmit-chain amplitude-distribution effects, not isolated from other sources by this script.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.005605623150794536,N/A — not a metadata column
kurt_I,04_extract_features.py,Distribution shape (scale-independent),kurtosis(I),"Tailedness of the amplitude distribution; can be influenced by clipping/compression in the transmit chain, but may also reflect noise or interference.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.3178779567739414,N/A — not a metadata column
kurt_Q,04_extract_features.py,Distribution shape (scale-independent),kurtosis(Q),"Tailedness of the amplitude distribution; can be influenced by clipping/compression in the transmit chain, but may also reflect noise or interference.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.33863137082585765,N/A — not a metadata column
signal_power,04_extract_features.py,Power and I/Q relationship,mean(I^2 + Q^2),"Direct measure of received power; typically dominated by path loss, antenna gain and fading rather than transmitter identity.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.940950238591421,N/A — not a metadata column
iq_ratio,04_extract_features.py,Power and I/Q relationship,std(I) / std(Q),"Crude proxy for gain imbalance between the I and Q channels; potentially associated with analogue front-end characteristics, not validated against a ground-truth imbalance measurement.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.0012338606737432832,N/A — not a metadata column
iq_correlation,04_extract_features.py,Power and I/Q relationship,"corr(I, Q)","Near zero for ideal QPSK; a non-zero value could indicate quadrature phase error, but this script does not establish whether it originates at the transmitter or receiver.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.36449953978435073,N/A — not a metadata column
papr,04_extract_features.py,Power and I/Q relationship,max(I^2+Q^2) / mean(I^2+Q^2),"Peak-to-average power ratio; can be influenced by amplifier compression, but also by multipath, which can create additional peaks.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.4482498048892909,N/A — not a metadata column
zero_crossing_rate,04_extract_features.py,Power and I/Q relationship,rate of sign changes in I,"Coarse frequency-domain proxy; potentially influenced by carrier offset, but is a rough indicator rather than a calibrated frequency measurement.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.23378898198429446,N/A — not a metadata column
fft_mean_magnitude,04_extract_features.py,Frequency-domain,mean(|FFT(I + jQ)|),Overall spectral energy; scales with received power in the same way as the time-domain amplitude features.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.9847196172037157,N/A — not a metadata column
peak_frequency,04_extract_features.py,Frequency-domain,argmax_f |FFT(I + jQ)|,"May reflect carrier frequency offset from transmitter oscillator error, but this is confounded with Doppler shift, which is geometry-dependent and can be much larger.",C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.00019064089116306858,N/A — not a metadata column
spectral_centroid,04_extract_features.py,Frequency-domain,sum(f * |X(f)|) / sum(|X(f)|),Amplitude-weighted mean frequency; subject to the same carrier-offset/Doppler confound as peak_frequency.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.0010093667796506871,N/A — not a metadata column
bandwidth,04_extract_features.py,Frequency-domain,spectral spread about the centroid,Primarily a property of the modulation and pulse shaping rather than of the individual transmitter.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.0056750173824179385,N/A — not a metadata column
occupied_bandwidth,04_extract_features.py,Frequency-domain,width containing 90% of spectral energy,Primarily a structural/protocol property rather than a hardware-specific measure.,C. RF-fingerprint candidate feature (waveform-derived),"Yes — this is the feature set used by the classifiers reported under the ""Stratified 80/20 split + 5-fold CV"" and ""Pass-aware"" protocols in model_comparison.csv.",0.7354253725335671,N/A — not a metadata column
cfo_hz,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),mean(inst. freq. of z^4) / 4,"Mean carrier frequency offset. This can contain contributions from both transmitter oscillator error and satellite-receiver Doppler shift. Consequently, it cannot be attributed to transmitter hardware alone without reliable Doppler compensation.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
cfo_std_hz,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),std(inst. freq. of z^4) / 4,"Short-term spread of the instantaneous-frequency estimate; may reflect oscillator instability/phase noise, subject to the same CFO/Doppler confound as cfo_hz.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
cfo_iqr_hz,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),P75 - P25 of inst. freq.,"Robust version of cfo_std_hz, less sensitive to residual symbol-transition spikes.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
cfo_drift_hz_per_ms,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),linear slope of inst. freq. vs time,"Linear frequency drift across the burst; potentially associated with oscillator warm-up behaviour, not isolated from any Doppler rate-of-change.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
cfo_skew,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),skewness(inst. freq.),Shape (asymmetry) of the instantaneous-frequency distribution within a burst.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
cfo_kurt,15_extract_features_v2.py,Carrier frequency offset & oscillator (4th-power method),kurtosis(inst. freq.),Shape (tailedness) of the instantaneous-frequency distribution; may help distinguish smooth drift from impulsive phase disturbance.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
iq_gain_imbalance_db,15_extract_features_v2.py,I/Q imbalance,20*log10(std(I)/std(Q)),Gain imbalance between the I and Q channels; potentially associated with analogue quadrature-modulator characteristics of the transmitter.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
iq_phase_error_deg,15_extract_features_v2.py,I/Q imbalance,"arcsin(corr(I, Q))","Estimated quadrature phase error, recovered from I/Q correlation; potentially associated with transmitter modulator characteristics.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
dc_offset_i,15_extract_features_v2.py,I/Q imbalance,mean(I) after unit-power normalisation,"Residual DC leakage on the I arm, expressed relative to signal amplitude; potentially associated with modulator/mixer characteristics.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
dc_offset_q,15_extract_features_v2.py,I/Q imbalance,mean(Q) after unit-power normalisation,"Residual DC leakage on the Q arm, expressed relative to signal amplitude; potentially associated with modulator/mixer characteristics.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
dc_offset_mag,15_extract_features_v2.py,I/Q imbalance,"hypot(dc_offset_i, dc_offset_q)",Combined magnitude of I/Q DC leakage; potentially associated with modulator/mixer characteristics.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
envelope_cv,15_extract_features_v2.py,Envelope behaviour,std(|z|) / mean(|z|),Envelope ripple relative to its own level; amplitude-invariant by construction (see extraction script rationale).,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
envelope_slope,15_extract_features_v2.py,Envelope behaviour,"linear trend of |z| over the burst, normalised",Potentially associated with amplifier droop or transmit power-control action during the burst.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
papr_db,15_extract_features_v2.py,Envelope behaviour,10*log10(max power / mean power),"Peak-to-average power ratio, amplitude-invariant by construction — distinct from the unnormalised v1 papr feature.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
envelope_kurt,15_extract_features_v2.py,Envelope behaviour,kurtosis(|z|),Tailedness of the envelope distribution; can be influenced by clipping/compression.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
constellation_spread_deg,15_extract_features_v2.py,Constellation quality,circular std of angle(z^4),"Angular spread of the residual (post-4th-power) constellation; may reflect how tightly the transmitter holds its constellation, independent of any fixed rotation.",C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
evm_proxy,15_extract_features_v2.py,Constellation quality,std(|z|) / mean(|z|),Magnitude dispersion about the mean radius; a proxy for error vector magnitude that does not require symbol decisions.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
phase_jitter,15_extract_features_v2.py,Constellation quality,std(2nd difference of unwrapped phase(z^4)),Short-term phase instability after removing constant offset and linear drift.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
seg1_power_ratio,15_extract_features_v2.py,Power trajectory across sub-windows,mean power of segment 1 / mean power of burst,Power of one quarter of the burst relative to the message mean; captures coarse within-burst power trajectory (amplitude-invariant by construction).,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
seg2_power_ratio,15_extract_features_v2.py,Power trajectory across sub-windows,mean power of segment 2 / mean power of burst,Power of one quarter of the burst relative to the message mean; captures coarse within-burst power trajectory (amplitude-invariant by construction).,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
seg3_power_ratio,15_extract_features_v2.py,Power trajectory across sub-windows,mean power of segment 3 / mean power of burst,Power of one quarter of the burst relative to the message mean; captures coarse within-burst power trajectory (amplitude-invariant by construction).,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
seg4_power_ratio,15_extract_features_v2.py,Power trajectory across sub-windows,mean power of segment 4 / mean power of burst,Power of one quarter of the burst relative to the message mean; captures coarse within-burst power trajectory (amplitude-invariant by construction).,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
skew_i_norm,15_extract_features_v2.py,Normalised distribution shape,skewness(I) after unit-power normalisation,Distribution shape of the amplitude-normalised I samples; recomputed on normalised data to avoid conflation with the raw-power features in v1.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
skew_q_norm,15_extract_features_v2.py,Normalised distribution shape,skewness(Q) after unit-power normalisation,Distribution shape of the amplitude-normalised Q samples; recomputed on normalised data to avoid conflation with the raw-power features in v1.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
kurt_i_norm,15_extract_features_v2.py,Normalised distribution shape,kurtosis(I) after unit-power normalisation,Distribution shape of the amplitude-normalised I samples; recomputed on normalised data to avoid conflation with the raw-power features in v1.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
kurt_q_norm,15_extract_features_v2.py,Normalised distribution shape,kurtosis(Q) after unit-power normalisation,Distribution shape of the amplitude-normalised Q samples; recomputed on normalised data to avoid conflation with the raw-power features in v1.,C. RF-fingerprint candidate feature (waveform-derived),"No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv, outputs/tables/v1_v2_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.",N/A,N/A — not a metadata column
ampm_correlation,17_extract_features_v3.py,AM/PM conversion,"corr(residual phase, amplitude)",Zero for an ideal amplifier; a non-zero value can be influenced by AM/PM conversion in the transmit power amplifier.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ampm_slope_deg,17_extract_features_v3.py,AM/PM conversion,slope of residual phase vs amplitude,"AM/PM conversion coefficient; per the extraction script's stated rationale, potentially associated with the individual amplifier's bias point and semiconductor characteristics.",C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ampm_q1_deg,17_extract_features_v3.py,AM/PM conversion,"mean residual phase, lowest amplitude quartile",A linear amplifier would show a similar value in every amplitude quartile; deviation can indicate nonlinearity.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ampm_q4_deg,17_extract_features_v3.py,AM/PM conversion,"mean residual phase, highest amplitude quartile",A linear amplifier would show a similar value in every amplitude quartile; deviation can indicate nonlinearity.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ampm_range_deg,17_extract_features_v3.py,AM/PM conversion,max(quartile phase) - min(quartile phase),Total phase excursion across amplitude quartiles; can be influenced by amplifier compression.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ampm_curvature,17_extract_features_v3.py,AM/PM conversion,2nd-order coefficient of phase-vs-amplitude fit,"Curvature of the phase-amplitude relationship, beyond the linear slope term.",C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ccdf_1db,17_extract_features_v3.py,AM/AM compression (CCDF),P(instantaneous power > mean + 1 dB),A shortened tail relative to an undistorted signal can indicate amplifier compression near saturation.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ccdf_3db,17_extract_features_v3.py,AM/AM compression (CCDF),P(instantaneous power > mean + 3 dB),A shortened tail relative to an undistorted signal can indicate amplifier compression near saturation.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ccdf_6db,17_extract_features_v3.py,AM/AM compression (CCDF),P(instantaneous power > mean + 6 dB),A shortened tail relative to an undistorted signal can indicate amplifier compression near saturation.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
ccdf_9db,17_extract_features_v3.py,AM/AM compression (CCDF),P(instantaneous power > mean + 9 dB),A shortened tail relative to an undistorted signal can indicate amplifier compression near saturation.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
papr_deficit_db,17_extract_features_v3.py,AM/AM compression (CCDF),measured PAPR (dB) - 5 dB reference,PAPR relative to the ~5 dB expected for an undistorted pulse-shaped QPSK signal; a markedly lower value can indicate compression.,C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
acpr_lower_db,17_extract_features_v3.py,Spectral regrowth (ACPR),power in lower adjacent band / power in occupied band,"Intermodulation products from amplifier nonlinearity fall outside the occupied bandwidth, so this can be influenced by amplifier linearity.",C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
acpr_upper_db,17_extract_features_v3.py,Spectral regrowth (ACPR),power in upper adjacent band / power in occupied band,"Intermodulation products from amplifier nonlinearity fall outside the occupied bandwidth, so this can be influenced by amplifier linearity.",C. RF-fingerprint candidate feature (waveform-derived),No — tested only in the separate v1/v2/v3 feature-set comparison (outputs/tables/feature_set_comparison.csv); not part of the feature set used by the classifiers reported in model_comparison.csv.,N/A,N/A — not a metadata column
